PUID,name,extension,containerDataFormat,category,outPuid,possibleOutPuid,outputDataFormat,keepOriginal
x-fmt/1,Microsoft Word for Macintosh Document Ver. (3.0),mcw,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/2,Microsoft Word for Macintosh Document Ver. (6.0),,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/3,Online Description Tool Format,odt,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/4,Write for Windows Document Ver. (3.1),wri,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/5,Works for Macintosh Document Ver. (4.0),,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/6,FoxPro Database Ver. (2.0),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/7,FoxPro Database Ver. (2.5),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/8,dBASE Database Ver. (II),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/9,dBASE Database Ver. (III),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/10,dBASE Database Ver. (IV),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/11,Revisable-Form-Text Document Content Architecture,,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/12,Write for Windows Document Ver. (3.0),wri,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/13,Tab-separated values,tsv,false,Text (Structured),fmt/477,fmt/477,false,true
x-fmt/14,Macintosh Text File,,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/15,MS-DOS Text File,,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/16,Unicode Text File,,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/17,Microsoft Excel Template Ver. (97-2003),xlt,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/18,Comma Separated Values,csv,false,Text (Plain),fmt/101,fmt/101,false,true
x-fmt/19,3D Studio,3ds,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/20,Adobe Illustrator Ver. (1.0 / 1.1),ai,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/21,7-bit ANSI Text,ans,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/22,7-bit ASCII Text,asc,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/23,Microsoft Excel Backup,xlk,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/24,AutoCAD Block Attribute Template,blk,false,CAD,x-fmt/24,x-fmt/24,true,false
x-fmt/25,OS/2 Bitmap Ver. (1.0),,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/26,AutoCAD Batch Plot File Ver. (1.0-R14),"bp2,bpl",false,CAD,x-fmt/26,x-fmt/26,true,false
x-fmt/27,AutoCAD Batch Plot File Ver. (2000-2005),bp3,false,CAD,x-fmt/27,x-fmt/27,true,false
x-fmt/28,CALS Compressed Bitmap,cal,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/29,CorelDraw Drawing Ver. (6.0),cdr,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/30,CorelDraw Template,cdt,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/31,CorelDraw Compressed Drawing Ver. (1),"cdx, cjw",false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/32,Harvard Graphics Chart Ver. (3.0),ch3,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/33,Corel R.A.V.E. Ver. (1),clk,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/34,Corel Presentation Exchange File Ver. (5.0),cmx,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/35,Corel Presentation Exchange File Ver. (6 and Later),cmx,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/36,CorelDraw Compressed Drawing Ver. (2),cpx,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/37,AutoCAD Colour-Dependant Plot Style Table,ctb,false,CAD,x-fmt/37,x-fmt/37,true,false
x-fmt/38,AutoCAD Custom Dictionary,cus,false,CAD,x-fmt/38,x-fmt/38,true,false
x-fmt/39,AutoCAD dbConnect Query Set,dbq,false,CAD,x-fmt/39,x-fmt/39,true,false
x-fmt/40,AutoCAD dbConnect Template Set,dbt,false,CAD,x-fmt/40,x-fmt/40,true,false
x-fmt/41,Data Interchange Format,dif,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/42,Wordperfect Secondary File Ver. (5.0),doc,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/43,Wordperfect Secondary File Ver. (5.1/5.2),doc,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/44,WordPerfect for MS-DOS/Windows Document Ver. (6.0),"doc,w60,wp,wp6,wpd",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/45,Microsoft Word Document Template Ver. (97-2003),dot,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/46,Microsoft Excel ODBC Query,dqy,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/47,Micrografx Draw Ver. (1-2),drw,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/48,Visual Basic Macro,dvb,false,Text (Source Code),x-fmt/48,x-fmt/48,true,false
x-fmt/49,AutoCAD Design Web Format Ver. (6.0),dwf,false,CAD,x-fmt/49,x-fmt/49,true,false
x-fmt/50,AutoCAD Drawing Standards File,dws,false,CAD,x-fmt/50,x-fmt/50,true,false
x-fmt/51,AutoCAD Drawing Template,dwt,false,CAD,x-fmt/51,x-fmt/51,true,false
x-fmt/52,Drawing Interchange Format Style Extract,dxx,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/122,Encapsulated PostScript File Format Ver. (1.2),"eps,epsf",false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/53,Macromedia Freehand Ver. (4 & 5),"fh4,fh5",false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/54,AutoCAD Font Mapping Table,fmp,false,CAD,x-fmt/54,x-fmt/54,true,false
x-fmt/55,Frame Vector Metafile,fmv,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/56,Kodak FlashPix Image,fpx,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/57,Ventura Publisher Vector Graphics,gem,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/58,Microsoft Excel Web Query,iqy,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/59,AutoCAD Last Saved Layer State,las,false,CAD,x-fmt/59,x-fmt/59,true,false
x-fmt/60,AutoCAD Linetype Definition File,lin,false,CAD,x-fmt/60,x-fmt/60,true,false
x-fmt/61,AutoCAD Landscape Library,lli,false,CAD,x-fmt/61,x-fmt/61,true,false
x-fmt/62,Log File,log,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/63,AutoLISP File,lsp,false,Text (Source Code),x-fmt/63,x-fmt/63,true,false
x-fmt/64,Microsoft Word for Macintosh Document Ver. (4.0),mcw,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/65,Microsoft Word for Macintosh Document Ver. (5.0),mcw,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/66,Microsoft Access Database Ver. (2.0),mdb,false,Database,fmt/101,fmt/101,false,false
x-fmt/67,OS/2 Presentation Manager Metafile (MET),met,false,Binary (Data),x-fmt/67,x-fmt/67,true,false
x-fmt/68,AutoCAD Compiled Menu,mnc,false,CAD,x-fmt/68,x-fmt/68,true,false
x-fmt/69,AutoLISP Menu Source File,mnl,false,Text (Source Code),x-fmt/69,x-fmt/69,true,false
x-fmt/70,AutoCAD Menu Resource File,"mnr,mnt",false,CAD,x-fmt/70,x-fmt/70,true,false
x-fmt/71,AutoCAD Source Menu File,mns,false,CAD,x-fmt/71,x-fmt/71,true,false
x-fmt/72,AutoCAD Template Menu File,mnu,false,CAD,x-fmt/72,x-fmt/72,true,false
x-fmt/73,Microsoft Outlook Address Book,olk,false,Email,fmt/477,fmt/477,false,false
x-fmt/74,Microsoft Excel OLAP Query,oqy,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/75,Microsoft Outlook Personal Address Book,pab,false,Email,fmt/477,fmt/477,false,false
x-fmt/76,CorelDraw Pattern,pat,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/77,AutoCAD Plot Configuration File Ver. (R14),pc2,false,CAD,x-fmt/77,x-fmt/77,true,false
x-fmt/78,AutoCAD Plot Configuration File Ver. (2000),pc3,false,CAD,x-fmt/78,x-fmt/78,true,false
x-fmt/79,AutoCAD Plot Configuration File Ver. (1.0-R13),pcp,false,CAD,x-fmt/79,x-fmt/79,true,false
x-fmt/80,Macintosh PICT Image Ver. (1.0),"pct,pict",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/81,Inkwriter/Notetaker Template,pdt,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/82,Lotus 1-2-3 Chart,pic,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/83,Hewlett Packard Vector Graphic Plotter File,plt,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/84,Microsoft Powerpoint Design Template,pot,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/85,Picture Publisher Bitmap Ver. (5.0),pp5,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/86,Microsoft Powerpoint Add-In,ppa,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/87,Microsoft Powerpoint Presentation Show Ver. (97-2003),pps,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/88,Microsoft Powerpoint Presentation Ver. (4.x),ppt,false,Presentation,fmt/477,fmt/477,false,false
fmt/125,Microsoft Powerpoint Presentation Ver. (95),ppt,false,Presentation,fmt/477,fmt/477,false,false
fmt/126,Microsoft Powerpoint Presentation Ver. (97-2003),ppt,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/89,Freelance File Ver. (1.0-2.1),pre,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/90,Microsoft Print File,prn,false,Binary (Data),x-fmt/90,x-fmt/90,true,false
x-fmt/91,Postscript Ver. (1.0),ps,false,Desktop Publishing ,fmt/477,fmt/477,false,true
x-fmt/92,Adobe Photoshop,"pdd,psd",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/93,Postscript Support File,psf,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/94,Pocket Word Document,"psw,pwd",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/95,Inkwriter/Notetaker Document,pwi,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/96,Pocket Word Template,pwt,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/97,Microsoft Excel OLE DB Query,rqy,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/98,AutoCAD ACIS Export File,sat,false,CAD,x-fmt/98,x-fmt/98,true,false
x-fmt/99,Schedule+ Contacts,scd,false,Binary (Data),x-fmt/99,x-fmt/99,true,false
x-fmt/100,AutoCAD Script,scr,false,CAD,x-fmt/100,x-fmt/100,true,false
x-fmt/101,Harvard Graphics Show Ver. (3.0),sh3,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/102,3D Studio Shapes,shp,false,Model,fmt/477,fmt/477,false,true
x-fmt/103,AutoCAD Compiled Shape/Font File,shx,false,CAD,x-fmt/103,x-fmt/103,true,false
x-fmt/104,AutoCAD Slide Library,slb,false,CAD,x-fmt/104,x-fmt/104,true,false
x-fmt/105,AutoCAD Slide,sld,false,CAD,x-fmt/105,x-fmt/105,true,false
x-fmt/106,Microsoft Symbolic Link (SYLK) File,slk,false,Binary (Executable),x-fmt/106,x-fmt/106,true,false
x-fmt/107,AutoCAD Named Plot Style Table,stb,false,CAD,x-fmt/107,x-fmt/107,true,false
x-fmt/108,STL (Standard Tessellation Language) ASCII,stl,false,Text (Source Code),x-fmt/108,x-fmt/108,true,false
x-fmt/109,Scalable Vector Graphics Compressed,svgz,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/110,Fixed Width Values Text File,,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/111,Plain Text File,txt,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/112,AutoCAD External Database Configuration File,udl,false,Database,fmt/101,fmt/101,false,false
x-fmt/113,Microsoft Visio Drawing Ver. (5.0),"vsd,vss,vst",false,Presentation,fmt/477,fmt/477,false,false
x-fmt/114,Lotus 1-2-3 Worksheet Ver. (2.0),"wk1,wk2",false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/115,Lotus 1-2-3 Worksheet Ver. (3.0),wk3,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/116,Lotus 1-2-3 Worksheet Ver. (4-5),wk4,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/117,Lotus 1-2-3 Worksheet Ver. (1.0),wks,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/118,Microsoft Works Spreadsheet Ver. (2.0),,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/119,Windows Metafile Image,wmf,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/120,Microsoft Works for Windows Ver. (4.0),wps,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/121,Quattro Pro Spreadsheet for DOS Ver. (1-4),"wkq,wq1",false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/122,Quattro Pro Spreadsheet for DOS Ver. (5),"wkq,wq2",false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/123,Microsoft Excel Macro Ver. (4.0),"xla,xlm",false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/124,Microsoft Excel Add-In,"xla,xll",false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/125,Microsoft Excel Toolbar,xlb,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/126,Microsoft Excel Chart Ver. (4.0),xlc,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/127,AutoCAD Xref Log,xlg,false,CAD,x-fmt/127,x-fmt/127,true,false
x-fmt/128,Microsoft Excel Workspace,xlw,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/129,Microsoft Word for Macintosh Document Ver. (X),,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/130,MS-DOS Text File with line breaks,,false,Text (Plain),fmt/477,fmt/477,false,false
x-fmt/131,Stationery for Mac OS X,doc,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/132,Speller Custom Dictionary,dic,false,Binary (Data),x-fmt/132,x-fmt/132,true,false
x-fmt/133,Speller Exclude Dictionary,dic,false,Binary (Data),x-fmt/133,x-fmt/133,true,false
x-fmt/134,AutoCAD Device-Independent Binary Plotter File,adi,false,CAD,x-fmt/134,x-fmt/134,true,false
x-fmt/135,Audio Interchange File Format Ver. (1.3),,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/136,Audio Interchange File Format (compressed),aifc,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/137,Electronic Arts Music,asf,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/138,Active Server Page,asp,false,Text (Source Code),x-fmt/138,x-fmt/138,true,false
x-fmt/139,NeXT/Sun sound,au,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/140,Silicon Graphics Image,"bw,rgb",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/141,Calendar Creator Plus Data File Ver. (2),cce,false,Binary (Data),x-fmt/141,x-fmt/141,true,false
x-fmt/142,Computer Graphics Metafile ASCII Ver. (1),cgm,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/143,OS/2 Change Control File,cin,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/144,Corel Photo-Paint Image,cpt,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/145,Stats+ Data File,,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/146,Scitex Continuous Tone Bitmap,ct,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/147,Paradox Database Table Ver. (7),db,false,Database,fmt/101,fmt/101,false,false
x-fmt/148,IBM DisplayWrite DCA Text File,dca,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/149,Desktop Color Separation File,dcs,false,Binary (Data),x-fmt/149,x-fmt/149,true,false
x-fmt/150,Visual FoxPro Database Container File,dcx,false,Database,fmt/101,fmt/101,false,false
x-fmt/151,Micrografx Designer,dsf,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/152,Digital Video,dv,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
x-fmt/153,Microsoft Windows Enhanced Metafile Ver. (1.0),emf,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/154,AutoDesk FLIC Animation,fli,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
x-fmt/155,AutoCAD Film Roll,flm,false,CAD,x-fmt/155,x-fmt/155,true,false
x-fmt/156,Ventura Publisher,gen,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/157,Interchange File,iff,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
x-fmt/158,Initial Graphics Exchange Specification (IGES) Ver. (5.x),"iges,igs",false,CAD,x-fmt/158,x-fmt/158,true,false
x-fmt/159,GEM Image,img,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/160,Java Servlet Page,jsp,false,Text (Source Code),x-fmt/160,x-fmt/160,true,false
x-fmt/161,MacPaint Image Ver. (1),mac,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/162,Adobe FrameMaker Interchange Format,mif,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/163,NAP Metafile,nap,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/164,Portable Bitmap Image - ASCII,pbm,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/165,Kodak PhotoCD Image Ver. (1.0),,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/166,PICS Animation,pcs,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
x-fmt/167,Adobe PhotoDeluxe,pdd,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/168,Broderbund Print Shop Deluxe Ver. (1-4),"pcc,pda,pdb,pdc,pdg,pdl,pds",false,Presentation,fmt/477,fmt/477,false,false
x-fmt/169,PHP Script Page,php,false,Text (Source Code),x-fmt/169,x-fmt/169,true,false
x-fmt/170,PC Paint Bitmap,pic,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/171,Inset Systems Bitmap,pix,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/172,Microsoft FoxPro Library,plb,false,Database,fmt/101,fmt/101,false,false
x-fmt/173,PageMaker PC Document Ver. (5.0),"pm5, pt5",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/174,PageMaker PC Document Ver. (6.0),"pm6, pt6",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/175,MacPaint Graphics,pnt,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/176,Picture Publisher Bitmap Ver. (4),pp4,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/177,Microsoft PowerPoint Graphics File,ppi,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/178,Portable Pixel Map - ASCII,ppm,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/179,Microsoft Visual Modeller Petal file (ASCII),ptl,false,Text (Structured),fmt/477,fmt/477,false,false
x-fmt/180,Instalit Script,pvd,false,Text (Source Code),x-fmt/180,x-fmt/180,true,false
x-fmt/181,PageMaker PC Document Ver. (6.5-7.0),"p65,pmd,pmt,t65",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/182,QuarkXPress Data File,"qcd,qpt,qwd,qwt,qxb,qxd,qxl,qxp,qxt",false,Desktop Publishing ,fmt/477,fmt/477,false,true
x-fmt/183,RealAudio Metafile,ram,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/184,Sun Raster Image,"ras,sun",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/185,Raw Bitmap,raw,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/186,Silicon Graphics RGB File,,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/187,Painter RIFF Image File,rif,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/188,SDSC Image Tool Wavefront Raster Image,rla,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/189,SDSC Image Tool Run-Length Encoded Bitmap,rle,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/190,RealMedia,"rm,rmvb",false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
x-fmt/191,AMI Professional Document,sam,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/192,SAS for MS-DOS Catalog,sct,false,Statistics,fmt/477,fmt/477,false,true
x-fmt/193,Unisys (Sperry) System Data File,sdf,false,Binary (Data),x-fmt/193,x-fmt/193,true,false
x-fmt/194,IRIS Graphics,,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/195,Standard Generalized Markup Language,"sgm,sgml",false,Text (Mark-up),fmt/477,fmt/477,false,true
x-fmt/196,NeXt Sound,,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/197,DataFlex Query Tag Name,tag,false,Text (Source Code),x-fmt/197,x-fmt/197,true,false
x-fmt/198,Pagemaker TableEditor Graphics,tbl,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/199,Turbo Debugger Keystroke Recording File,tdk,false,Binary (Data),x-fmt/199,x-fmt/199,true,false
x-fmt/200,PageMaker Time Stamp File Ver. (4.0),tym,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/201,CCITT G.711 Audio,ulaw,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/202,Corel Wavelet Compressed Bitmap,"wi,wvl",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/203,WordPerfect for Windows Document Ver. (5.2),"w52,wp,wp5,wpd",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/204,Microsoft Word for Windows Macro,wpm,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/205,WordStar for MS-DOS Document Ver. (5.0),"ws,ws5",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/206,WordStar for Windows Document Ver. (1.0),"ws,wsd,wsw",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/207,X-Windows Bitmap Image Ver. (X11),xbm,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/208,X-Windows Pixmap Image Ver. (X10),xpm,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/209,SDSC Image Tool X Window Dump Format,xwd,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/210,XYWrite Document,xy,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/211,XYWrite Document Ver. (III),xy3,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/212,Lotus 1-2-3 Worksheet Ver. (5.0),,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/213,Quicken Data File,"abd,qdf,qel",false,Binary (Data),x-fmt/213,x-fmt/213,true,false
x-fmt/214,Microsoft Paint Ver. (1),msp,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/215,GEM Metafile Format Ver. (1.00),gem,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/216,Microsoft Powerpoint Packaged Presentation,ppz,false,Presentation,fmt/477,fmt/477,false,false
x-fmt/217,Adobe ACD,acd,false,Desktop Publishing ,fmt/477,fmt/477,false,true
x-fmt/218,ESRI Arc/Info Binary Grid,adf,false,GIS,x-fmt/218,x-fmt/218,true,true
x-fmt/219,Internet Archive Ver. (1.0),arc,true,Package,x-fmt/219,x-fmt/219,false,false
x-fmt/220,Applixware Spreadsheet,as,false,Spreadsheet,fmt/477,fmt/477,false,true
x-fmt/221,MapBrowser/MapWriter Vector Map Data,cbd,false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/222,CD Audio,cda,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/223,Autodesk Animator CEL File Format,cel,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
x-fmt/224,Cascading Style Sheet,css,false,Text (Mark-up),fmt/477,fmt/477,false,true
x-fmt/225,ESRI MapInfo Data File,mid,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
x-fmt/226,ESRI Arc/Info Export File,"e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,x00",false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
x-fmt/227,Geography Markup Language,gml,false,GIS,x-fmt/227,x-fmt/227,true,false
x-fmt/228,Applixware Bitmap,im,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/229,Intergraph Raster Image,ing,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/230,MIDI Audio,"mid,midi",false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
x-fmt/231,ESRI MapInfo Export File,mif,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
x-fmt/232,Microsoft Project Export File Ver. (1.0),mpx,false,Binary (Data),x-fmt/232,x-fmt/232,true,false
x-fmt/233,Paint Shop Pro Image Ver. (3.0),psp,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/234,Paint Shop Pro Image Ver. (5.0),psp,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
x-fmt/235,ESRI Arc/View ShapeFile,shp,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/124,Encapsulated PostScript File Format Ver. (3),"eps,epsf,ps",false,Image (Vector),fmt/477,fmt/477,false,true
fmt/123,Encapsulated PostScript File Format Ver. (2.0),"eps,epsf",false,Image (Vector),fmt/477,fmt/477,false,true
x-fmt/236,WordStar for MS-DOS Document Ver. (5.5),ws,false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/237,WordStar for MS-DOS Document Ver. (6.0),"ws,ws6",false,Word Processing,fmt/477,fmt/477,false,false
x-fmt/238,Microsoft Access Database Ver. (95),mdb,false,Database,fmt/101,fmt/101,false,false
x-fmt/239,Microsoft Access Database Ver. (97),mdb,false,Database,fmt/101,fmt/101,false,false
x-fmt/240,Microsoft Access Database Ver. (2000),mdb,false,Database,fmt/101,fmt/101,false,false
x-fmt/241,Microsoft Access Database Ver. (2002),mdb,false,Database,fmt/101,fmt/101,false,false
x-fmt/242,Microsoft FoxPro Database Ver. (2.6),dbf,false,Database,fmt/101,fmt/101,false,false
x-fmt/243,Microsoft Project Ver. (4.0),mpp,false,Binary (Data),fmt/477,fmt/477,false,true
x-fmt/244,Microsoft Project Ver. (95),mpp,false,Binary (Data),fmt/477,fmt/477,false,true
