PUID,name,extension,containerDataFormat,category,outPuid,possibleOutPuid,outputDataFormat,keepOriginal
fmt/247,Microsoft Works Spreadsheet for Windows Ver. (4.0a),,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/248,Microsoft Works Word Processor Windows Ver. (4.0a),,false,Word Processing,fmt/477,fmt/477,false,false
fmt/249,Microsoft Works Database for Windows Ver. (4.5),wdb,false,Database,fmt/101,fmt/101,false,false
fmt/250,Microsoft Works Spreadsheet for Windows Ver. (4.5),,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/251,Microsoft Works Word Processor Windows Ver. (4.5),,false,Word Processing,fmt/477,fmt/477,false,false
fmt/252,Microsoft Works Database for Windows Ver. (4.5a),wdb,false,Database,fmt/101,fmt/101,false,false
fmt/253,Microsoft Works Spreadsheet for Windows Ver. (4.5a),,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/254,Microsoft Works Word Processor Windows Ver. (4.5a),,false,Word Processing,fmt/477,fmt/477,false,false
fmt/255,DjVu File Format,"djv,djvu",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/256,Microsoft Works Database for Windows Ver. (2000),wdb,false,Database,fmt/101,fmt/101,false,false
fmt/257,Microsoft Works Spreadsheet for Windows Ver. (2000),,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/258,Microsoft Works Word Processor 5-6,wps,false,Word Processing,fmt/477,fmt/477,false,false
fmt/259,Microsoft Works Database for DOS Ver. (3),wdb,false,Database,fmt/101,fmt/101,false,false
fmt/260,Microsoft Works Database for DOS Ver. (3a),wdb,false,Database,fmt/101,fmt/101,false,false
fmt/261,Microsoft Works Database for DOS Ver. (3b),wdb,false,Database,fmt/101,fmt/101,false,false
fmt/262,Microsoft Works Spreadsheet for DOS Ver. (3),,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/263,Microsoft Works Spreadsheet for DOS Ver. (3a),,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/264,Microsoft Works Spreadsheet for DOS Ver. (3b),,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/265,Microsoft Works Word Processor DOS Ver. (3),,false,Word Processing,fmt/477,fmt/477,false,false
fmt/266,Microsoft Works Word Processor DOS Ver. (3a),,false,Word Processing,fmt/477,fmt/477,false,false
fmt/267,Microsoft Works Word Processor DOS Ver. (3b),,false,Word Processing,fmt/477,fmt/477,false,false
fmt/268,Microsoft Works Database for Macintosh Ver. (3),wdb,false,Database,fmt/101,fmt/101,false,false
fmt/269,Microsoft Works Database for Macintosh Ver. (4),wdb,false,Database,fmt/101,fmt/101,false,false
fmt/270,Microsoft Works Spreadsheet for Macintosh Ver. (3),wks,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/271,Microsoft Works Spreadsheet for Macintosh Ver. (4),wks,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/272,Microsoft Works Word Processor Macintosh Ver. (3),wps,false,Word Processing,fmt/477,fmt/477,false,false
fmt/273,Microsoft Works Word Processor Macintosh Ver. (4),wps,false,Word Processing,fmt/477,fmt/477,false,false
fmt/274,SPSS Output File (spv),spv,false,Statistics,fmt/477,fmt/477,false,true
fmt/275,Microsoft Access Database Ver. (2007),accdb,false,Database,fmt/101,fmt/101,false,false
fmt/276,Acrobat PDF 1.7 - Portable Document Format Ver. (1.7),pdf,false,Portable Document Format,fmt/477,fmt/477,false,false
fmt/277,ESRI Arc/View Shapefile Index,shx,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/278,Internet Message Format,eml,false,Email,fmt/477,fmt/477,false,true
fmt/279,FLAC (Free Lossless Audio Codec) Ver. (1.2.1),flac,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,true
fmt/280,LaTeX (Master document),,false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/281,LaTeX (Subdocument),,false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/282,netCDF-3 Classic,"cdf,nc",false,Binary (Data),fmt/282,fmt/282,true,false
fmt/283,netCDF-3 64-bit,"cdf,nc",false,Binary (Data),fmt/283,fmt/283,true,false
fmt/284,Gridded Binary Ver. (1.0),"grb,wmo",false,Binary (Executable),fmt/284,fmt/284,true,false
fmt/285,Gridded Binary Ver. (2.0),"grb,wmo",false,Binary (Executable),fmt/285,fmt/285,true,false
fmt/286,HDF5 Ver. (1),"h5,hdf,hdf5,nc",false,Binary (Data),fmt/286,fmt/286,true,false
fmt/287,HDF5 Ver. (2),"h5,hdf,hdf5,nc",false,Binary (Data),fmt/287,fmt/287,true,false
fmt/288,Microsoft Front Page Server Extension Configuration,,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/289,WARC,warc,true,Package,fmt/289,fmt/289,false,false
fmt/290,OpenDocument Text Ver. (1.1),"odt,ott",false,Word Processing,fmt/477,fmt/477,false,false
fmt/291,OpenDocument Text Ver. (1.2),"odt,ott",false,Word Processing,fmt/477,fmt/477,false,false
fmt/292,OpenDocument Presentation Ver. (1.1),"odp,otp",false,Presentation,fmt/477,fmt/477,false,false
fmt/293,OpenDocument Presentation Ver. (1.2),"odp,otp",false,Presentation,fmt/477,fmt/477,false,false
fmt/294,OpenDocument Spreadsheet Ver. (1.1),"ods,ots",false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/295,OpenDocument Spreadsheet Ver. (1.2),"ods,ots",false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/296,OpenDocument Graphics Ver. (1.1),"odg,otg",false,Image (Vector),fmt/477,fmt/477,false,true
fmt/297,OpenDocument Graphics Ver. (1.2),"odg,otg",false,Image (Vector),fmt/477,fmt/477,false,true
fmt/298,Autodesk Animator Pro FLIC,flc,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
fmt/299,Autodesk Animator (FlicLib),fli,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
fmt/300,ChiWriter Document Ver. (4),chi,false,Word Processing,fmt/477,fmt/477,false,false
fmt/301,Computer Graphics Metafile ASCII Ver. (3),cgm,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/302,Computer Graphics Metafile ASCII Ver. (4),cgm,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/303,Computer Graphics Metafile (Binary) Ver. (1),cgm,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/304,Computer Graphics Metafile (Binary) Ver. (2),cgm,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/305,Computer Graphics Metafile (Binary) Ver. (3),cgm,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/306,Computer Graphics Metafile (Binary) Ver. (4),cgm,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/307,Quicken Interchange Format,qif,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/308,Quicken Data Format,qdf,false,Binary (Data),fmt/308,fmt/308,true,false
fmt/309,Open Financial Exchange Ver. (1.02),"ofx,qfx",false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/310,Open Financial Exchange Ver. (1.03),"ofx,qfx",false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/311,Open Financial Exchange Ver. (1.6),"ofx,qfx",false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/312,Open Financial Exchange Ver. (2.0.3),"ofx,qfx",false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/313,Open Financial Exchange Ver. (2.1.1),"ofx,qfx",false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/314,Play SID Audio Ver. (1),"psid,sid",false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/315,Play SID Audio Ver. (2),"psid,sid",false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/316,Real SID Audio,sid,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/317,Macromedia Director Ver. (Macintosh),"dir,dxr",false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
fmt/318,Secure DjVU,"djv,djvu",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/319,ESRI Spatial Index File,"sbn,sbx",false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/320,ESRI Shapefile Projection (Well-Known Text) Format,prj,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/321,ESRI Shapefile Header Index,aih,false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/322,Portable Form File,pff,false,Binary (Data),fmt/322,fmt/322,true,false
fmt/323,Extended Module Audio File,xm,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/324,EndNote Style File,ens,false,Word Processing,fmt/477,fmt/477,false,false
fmt/325,EndNote Library Ver. (1-9),enl,false,Word Processing,fmt/477,fmt/477,false,false
fmt/326,EndNote Connection File,enz,false,Word Processing,fmt/477,fmt/477,false,false
fmt/327,EndNote Filter File,enf,false,Word Processing,fmt/477,fmt/477,false,false
fmt/328,EndNote Import File,"enr,enw",false,Word Processing,fmt/477,fmt/477,false,false
fmt/329,Shell Archive Format,shar,true,Package,fmt/329,fmt/329,false,false
fmt/330,Peak Graphical Waveform File,pk,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/331,Autorun Configuration File,inf,false,Text (Structured),fmt/477,fmt/477,false,false
fmt/332,ESRI Arc/View Project Ver. (3.x),"apr, def",false,GIS,fmt/477,"fmt/477,fmt/645,fmt/10,fmt/13",false,true
fmt/333,Chemical Markup Language,cml,false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/334,Crystallographic Information Framework,cif,false,Text (Mark-up),fmt/477,fmt/477,false,true
fmt/335,Dreamweaver Lock File,lck,false,Text (Plain),fmt/477,fmt/477,false,false
fmt/336,Graphic Workshop for Windows Thumbnail File,thn,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/337,MJ2 (Motion JPEG 2000),"mj2,mjp2",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
